                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5225,                 1.9299,                 1.3178,                0.89864,                0.84578,                0.91435,                0.48124,                 1.5989,                 1.1489,                 1.2673,              0.0033189,              0.0033189,              0.0033189
                      2,                 1.3607,                  1.091,                 1.1914,                0.89176,                0.83524,                 0.9017,                0.47395,                 1.6514,                0.96958,                 1.2943,              0.0065864,              0.0065864,              0.0065864
                      3,                  1.383,                 1.0082,                 1.2119,                0.85547,                0.75972,                0.82572,                0.40949,                 1.7669,                 1.1512,                 1.4162,              0.0097879,              0.0097879,              0.0097879
                      4,                 1.3836,                0.95738,                 1.2228,                0.90799,                0.87194,                0.92558,                0.55878,                 1.4001,                 0.7514,                 1.1883,               0.009703,               0.009703,               0.009703
                      5,                 1.3521,                0.88606,                  1.208,                0.91143,                0.85126,                0.92079,                0.50465,                 1.6068,                0.77973,                 1.2898,               0.009703,               0.009703,               0.009703
                      6,                 1.3259,                0.83213,                 1.1969,                0.92523,                0.86941,                0.93553,                0.56622,                  1.393,                 0.7037,                 1.1801,               0.009604,               0.009604,               0.009604
                      7,                 1.3042,                0.80301,                 1.1866,                0.93374,                0.88701,                0.94555,                 0.5849,                 1.3674,                0.63872,                 1.1791,               0.009505,               0.009505,               0.009505
                      8,                 1.2869,                0.77396,                   1.18,                0.92447,                0.89251,                0.94205,                0.57103,                 1.4129,                0.63989,                 1.2168,               0.009406,               0.009406,               0.009406
                      9,                 1.2787,                0.76009,                 1.1729,                0.93395,                0.90037,                0.95482,                0.60731,                  1.303,                0.61221,                 1.1503,               0.009307,               0.009307,               0.009307
                     10,                 1.2636,                0.74176,                 1.1665,                 0.9324,                0.90874,                0.95348,                0.61776,                 1.2581,                0.57806,                 1.1355,               0.009208,               0.009208,               0.009208
                     11,                 1.2575,                0.73545,                 1.1627,                0.93609,                0.91741,                0.95859,                 0.6251,                 1.2394,                0.56715,                 1.1273,               0.009109,               0.009109,               0.009109
                     12,                  1.245,                0.71846,                 1.1546,                0.93052,                0.91502,                0.95382,                0.56255,                 1.4679,                0.60196,                 1.2184,                0.00901,                0.00901,                0.00901
                     13,                 1.2431,                0.71102,                 1.1554,                 0.9412,                0.90769,                0.95741,                 0.5984,                 1.3487,                0.57103,                 1.1605,               0.008911,               0.008911,               0.008911
                     14,                 1.2305,                0.69868,                  1.147,                0.94088,                0.91352,                0.95984,                0.62667,                 1.2623,                0.55138,                 1.1231,               0.008812,               0.008812,               0.008812
                     15,                 1.2256,                 0.6905,                 1.1452,                0.93627,                0.92072,                0.95835,                0.63683,                 1.2097,                0.53801,                 1.1174,               0.008713,               0.008713,               0.008713
                     16,                 1.2176,                0.67813,                 1.1371,                0.94399,                0.90825,                0.95998,                0.59675,                 1.3628,                0.57147,                 1.1818,               0.008614,               0.008614,               0.008614
                     17,                 1.2198,                0.68103,                 1.1416,                0.94131,                  0.916,                 0.9592,                0.62453,                 1.2678,                0.53129,                 1.1359,               0.008515,               0.008515,               0.008515
                     18,                 1.2065,                0.67009,                 1.1337,                  0.939,                0.91911,                0.96214,                0.61459,                 1.2817,                0.53068,                 1.1454,               0.008416,               0.008416,               0.008416
                     19,                 1.2056,                0.66376,                 1.1343,                 0.9319,                0.92568,                0.96188,                0.63829,                 1.2406,                 0.5202,                 1.1294,               0.008317,               0.008317,               0.008317
